City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tolanaro,-25.0319,46.9987,294.19,88,9,7.2,MG,1787096020
83,east london,-33.0153,27.9116,290.34,80,88,1.25,ZA,1787095744
84,covington,39.0837,-84.5086,300.85,67,4,1.61,US,1787096022
85,borcka,41.3632,41.6765,294.35,86,29,2.44,TR,1787096023
86,vilyuchinsk,52.9306,158.4028,296.3,79,27,1.49,RU,1787095597
87,kourou,5.1552,-52.6478,299.82,80,4,3.6,GF,1787095781
88,bredasdorp,-34.5322,20.0403,282.8,92,100,0.81,ZA,1787095743
89,lihue,21.9789,-159.3672,301.92,61,99,6.17,US,1787095768
90,vuktyl,63.8567,57.3094,286.16,75,95,1.89,RU,1787096029
91,codrington,-38.2667,141.9667,286.36,93,96,8.82,AU,1787095746
92,ponta delgada,37.7333,-25.6667,296.55,88,6,5.66,PT,1787096031
93,utrik,11.2278,169.8474,301.79,75,62,4.43,MH,1787095758
94,papao,-17.75,-149.55,301.97,73,1,4.96,PF,1787095775
95,geraldton,-28.7667,114.6,285.38,87,100,3.09,AU,1787095778
96,isafjordur,66.0755,-23.124,279.66,86,4,1.98,IS,1787095745
97,lebu,-37.6167,-73.65,284.11,73,58,7.04,CL,1787095608
98,guerrero negro,27.9769,-114.0611,298.29,67,11,7.85,MX,1787095402
99,dryden,49.7833,-92.7503,293.31,37,69,5.66,CA,1787096038
100,rock springs,41.5875,-109.2029,297.3,72,88,0.0,US,1787096040
101,saint-pierre,-21.3393,55.4781,294.97,64,8,3.09,RE,1787095708
102,fale old settlement,-9.3852,-171.2468,300.83,79,42,7.32,TK,1787095746
103,port mathurin,-19.6833,63.4167,296.2,78,23,8.75,MU,1787095755
104,opuwo,-18.0607,13.84,291.0,17,0,2.82,NA,1787095781
105,saint-georges,12.0564,-61.7485,301.97,79,78,5.14,GD,1787096045
106,peniche,39.3558,-9.3811,294.38,90,0,1.38,PT,1787096046
107,badger,64.8,-147.5333,290.1,63,100,7.72,US,1787095756
108,kodinsk,58.6881,99.1844,287.59,67,50,0.71,RU,1787096048
109,mugia,43.1041,-9.2179,292.64,90,2,6.41,ES,1787095766
110,thakhek,17.4103,104.8307,298.21,99,100,0.86,LA,1787096050
111,punta arenas,-53.15,-70.9167,277.21,81,75,9.77,CL,1787095750
112,sitka,57.0531,-135.33,288.09,82,90,0.0,US,1787095726
113,vikulovo,56.8167,70.6107,282.72,92,60,1.98,RU,1787096054
114,freetown,8.484,-13.2299,297.6,92,100,2.7,SL,1787095780
115,whitecourt,54.1502,-115.6855,296.73,49,75,5.14,CA,1787096056
116,wau,7.7029,27.9953,294.63,90,87,1.04,SS,1787096057
117,tura,25.5198,90.2201,297.43,97,92,2.71,IN,1787095755
118,naryn,41.4287,75.9911,285.04,57,0,2.63,KG,1787096059
119,kingston,17.997,-76.7936,302.68,74,58,4.12,JM,1787095749
120,iqaluit,63.7506,-68.5145,279.0,81,94,2.06,CA,1787095744
121,armacao de buzios,-22.7469,-41.8817,295.15,83,1,10.7,BR,1787096062
122,juba,4.8517,31.5825,294.87,91,97,1.5,SS,1787096064
123,wailua homesteads,22.0669,-159.378,301.59,61,98,6.17,US,1787095755
124,puerto ayora,-0.7393,-90.3518,298.46,87,26,3.58,EC,1787095750
125,ust-nera,64.5667,143.2,283.82,64,64,2.24,RU,1787095754
126,curillo,1.0333,-75.9191,299.39,77,39,1.11,CO,1787096068
